path,label
../data/processed\scissors\processed_Z6CURxA1iRNhTzO9.png,2
../data/processed\scissors\processed_MfDDFjVkEdWKPi2X.png,2
../data/processed\rock\processed_BOswKcczxw8dC4kY.png,0
../data/processed\paper\processed_RmTijOM3U31zKnrY.png,1
../data/processed\paper\processed_2F8Ng7620ANA7tEK.png,1
../data/processed\scissors\processed_o3cajP31029qBUIX.png,2
../data/processed\scissors\processed_UO03gubyPNMaJ8pj.png,2
../data/processed\paper\processed_KOlOsNsrUdQonYpp.png,1
../data/processed\rock\processed_gjdBDXv7avQwgTr3.png,0
../data/processed\rock\processed_XQVw2vKQl0dywWDc.png,0
../data/processed\scissors\processed_Y2lr5d6VnNfievnA.png,2
../data/processed\rock\processed_H5UvLsMVpHQH2q0i.png,0
../data/processed\paper\processed_AfvIbTwxuG0q7Ij1.png,1
../data/processed\paper\processed_SboHPaPEPBqkkTUX.png,1
../data/processed\rock\processed_aEjSJwrTtf651GLm.png,0
../data/processed\scissors\processed_IdrewaHdlHRrNHbJ.png,2
../data/processed\rock\processed_nmxmRD1050oGpGEa.png,0
../data/processed\scissors\processed_VSitIYv6wmfRhoKj.png,2
../data/processed\rock\processed_F9aco7lZecystG3Z.png,0
../data/processed\scissors\processed_SMQFKEq55U7752xf.png,2
../data/processed\rock\processed_Xt7qc6XbbZ4OcpW6.png,0
../data/processed\rock\processed_N3Qml9f8reG31r5b.png,0
../data/processed\paper\processed_sZyZICXHv0ArIZFw.png,1
../data/processed\rock\processed_5EEdNZWT8M9PThPB.png,0
../data/processed\rock\processed_6TEsyzE1MEK6Xg31.png,0
../data/processed\rock\processed_VnSCn5IIg7m8d9Os.png,0
../data/processed\rock\processed_rBGSBjzYhvdPSDV0.png,0
../data/processed\rock\processed_fnIIkyRgH6znwmNp.png,0
../data/processed\rock\processed_bC8Fki1Na2rRSlBG.png,0
../data/processed\paper\processed_BH9zAUdmmjlfXwtS.png,1
../data/processed\paper\processed_5jcXrtjEVtQwI0Wa.png,1
../data/processed\paper\processed_4ZoU4nouZzb9G2MI.png,1
../data/processed\paper\processed_oqJ2wJHOLMGGxdjF.png,1
../data/processed\paper\processed_1Dfw5FRlS4h60JPX.png,1
../data/processed\rock\processed_OQpJdqlKKADyIvtb.png,0
../data/processed\rock\processed_YllhyQANozETi3MM.png,0
../data/processed\scissors\processed_nHMXDFvdVQ8Vb0F7.png,2
../data/processed\paper\processed_yM5JZ5J4uLeYIGOO.png,1
../data/processed\paper\processed_nPEUpKKphLYH3Bjy.png,1
../data/processed\paper\processed_s4dtRIGK3emNyjrO.png,1
../data/processed\paper\processed_NS5CJKNsJa9jr5j4.png,1
../data/processed\rock\processed_O0YV4V0z2pe4kxwx.png,0
